title,abstract,field_1_na,field_1_co,field_2_na,field_2_co,field_3_na,field_3_co
Convolutional recurrent neural networks for music classification,"We introduce a convolutional recurrent neural network (CRNN) for music tagging. CRNNs take advantage of convolutional neural networks (CNNs) for local feature extraction and recurrent neural networks for temporal summarisation of the extracted features. We compare CRNN with three CNN structures that have been used for music tagging while controlling the number of parameters with respect to their performance and training time per sample. Overall, we found that CRNNs show a strong performance with respect to the number of parameter and training time, indicating the effectiveness of its hybrid structure in music feature extraction and feature summarisation.",Computer Science,70.00%,Artificial Intelligence,20.00%,Software,10.00%
The Jazz Transformer on the Front Line: Exploring the Shortcomings of AI-composed Music through Quantitative Measures,"This paper presents the Jazz Transformer, a generative model that utilizes a neural sequence model called the Transformer-XL for modeling lead sheets of Jazz music. Moreover, the model endeavors to incorporate structural events present in the Weimar Jazz Database (WJazzD) for inducing structures in the generated music. While we are able to reduce the training loss to a low value, our listening test suggests however a clear gap between the average ratings of the generated and real compositions. We therefore go one step further and conduct a series of computational analysis of the generated compositions from different perspectives. This includes analyzing the statistics of the pitch class, grooving, and chord progression, assessing the structureness of the music with the help of the fitness scape plot, and evaluating the model's understanding of Jazz music through a MIREX-like continuation prediction task. Our work presents in an analytical manner why machine-generated music to date still falls short of the artwork of humanity, and sets some goals for future work on automatic composition to further pursue.",Artificial Intelligence,70.00%,Music,20.00%,Computer Science,10.00%
Music genre classification and music recommendation by using deep learning,"Today, music is a very important and perhaps inseparable part of people's daily life. There are many genres of music and these genres are different from each other, resulting in people to have different preferences of music. As a result, it is an important and up-to-date issue to classify music and to recommend people new music in music listening applications and platforms. Classifying music by their genre is one of the most useful techniques used to solve this problem. There are a number of approaches for music classification and recommendation. One approach is based on the acoustic characteristics of music. In this study, a music genre classification system and music recommendation engine, which focuses on extracting representative features that have been obtained by a novel deep neural network model, have been proposed. Acoustic features extracted from these networks have been utilised for music genre classification and music recommendation on a data set.",Computer Science,70.00%,Artificial Intelligence,20.00%,Software,10.00%
The hidden therapist: evidence for a central role of music in psychedelic therapy,"Recent studies have supported the safety and efficacy of psychedelic therapy for mood disorders and addiction. Music is considered an important component in the treatment model, but little empirical research has been done to examine the magnitude and nature of its therapeutic role. The present study assessed the influence of music on the acute experience and clinical outcomes of psychedelic therapy. Semi-structured interviews inquired about the different ways in which music influenced the experience of 19 patients undergoing psychedelic therapy with psilocybin for treatment-resistant depression. Interpretative phenomenological analysis was applied to the interview data to identify salient themes. In addition, ratings were given for each patient for the extent to which they expressed “liking,” “resonance” (the music being experienced as “harmonious” with the emotional state of the listener), and “openness” (acceptance of the music-evoked experience). Analyses of the interviews revealed that the music had both “welcome” and “unwelcome” influences on patients’ subjective experiences. Welcome influences included the evocation of personally meaningful and therapeutically useful emotion and mental imagery, a sense of guidance, openness, and the promotion of calm and a sense of safety. Conversely, unwelcome influences included the evocation of unpleasant emotion and imagery, a sense of being misguided and resistance. Correlation analyses showed that patients’ experience of the music was associated with the occurrence of “mystical experiences” and “insightfulness.” Crucially, the nature of the music experience was significantly predictive of reductions in depression 1 week after psilocybin, whereas general drug intensity was not. This study indicates that music plays a central therapeutic function in psychedelic therapy.",Psychiatry and Mental Health,45.00%,Clinical Psychology,35.00%,Music,20.00%
Dance with Melody: An LSTM-autoencoder Approach to Music-oriented Dance Synthesis,"Dance is greatly influenced by music. Studies on how to synthesize music-oriented dance choreography can promote research in many fields, such as dance teaching and human behavior research. Although considerable effort has been directed toward investigating the relationship between music and dance, the synthesis of appropriate dance choreography based on music remains an open problem. There are two main challenges: 1) how to choose appropriate dance figures, i.e., groups of steps that are named and specified in technical dance manuals, in accordance with music and 2) how to artistically enhance choreography in accordance with music. To solve these problems, in this paper, we propose a music-oriented dance choreography synthesis method using a long short-term memory (LSTM)-autoencoder model to extract a mapping between acoustic and motion features. Moreover, we improve our model with temporal indexes and a masking method to achieve better performance. Because of the lack of data available for model training, we constructed a music-dance dataset containing choreographies for four types of dance, totaling 907,200 frames of 3D dance motions and accompanying music, and extracted multidimensional features for model training. We employed this dataset to train and optimize the proposed models and conducted several qualitative and quantitative experiments to select the best-fitted model. Finally, our model proved to be effective and efficient in synthesizing valid choreographies that are also capable of musical expression.",Computer Science,70.00%,Artificial Intelligence,20.00%,Software,10.00%
"Music, Computing, and Health: A Roadmap for the Current and Future Roles of Music Technology for Health Care and Well-Being","The fields of music, health, and technology have seen significant interactions in recent years in developing music technology for health care and well-being. In an effort to strengthen the collaboration between the involved disciplines, the workshop “Music, Computing, and Health” was held to discuss best practices and state-of-the-art at the intersection of these areas with researchers from music psychology and neuroscience, music therapy, music information retrieval, music technology, medical technology (medtech), and robotics. Following the discussions at the workshop, this article provides an overview of the different methods of the involved disciplines and their potential contributions to developing music technology for health and well-being. Furthermore, the article summarizes the state of the art in music technology that can be applied in various health scenarios and provides a perspective on challenges and opportunities for developing music technology that (1) supports person-centered care and evidence-based treatments, and (2) contributes to developing standardized, large-scale research on music-based interventions in an interdisciplinary manner. The article provides a resource for those seeking to engage in interdisciplinary research using music-based computational methods to develop technology for health care, and aims to inspire future research directions by evaluating the state of the art with respect to the challenges facing each field.",Music,40.00%,Health Informatics,35.00%,Computer Science,25.00%
Absolute Music,"“Absolute music” names an idea, an aesthetic concept, a regulative construct, a repertoire, and an aspiration. The term also engages a range of broader claims about aesthetic autonomy, or the possibility of aesthetic experience more generally. This chapter investigates how and why the aspiration towards autonomy has seemed so necessary—and so powerfully subversive—for musical thinkers at certain times in history. It traces the entanglements and misalignments of the various meanings and uses of these ideas, and brings these insights into the remit of contemporary debates about music’s ineffability, and its capacity to facilitate resistance and political agency.",Music,70.00%,Philosophy,20.00%,Arts and Humanities (miscellaneous),10.00%
Transfer Learning for Music Classification and Regression Tasks,"In this paper, we present a transfer learning approach for music classification and regression tasks. We propose to use a pre-trained convnet feature, a concatenated feature vector using the activations of feature maps of multiple layers in a trained convolutional network. We show how this convnet feature can serve as general-purpose music representation. In the experiments, a convnet is trained for music tagging and then transferred to other music-related classification and regression tasks. The convnet feature outperforms the baseline MFCC feature in all the considered tasks and several previous approaches that are aggregating MFCCs as well as low- and high-level music features.",Computer Science,70.00%,Artificial Intelligence,20.00%,Music,10.00%
"Who Enrolls in High School Music? A National Profile of U.S. Students, 2009–2013","The purpose of this study is to construct a complete demographic profile of high school music ensemble students using nationally representative data for the U.S. graduating high school class of 2013. We make use of restricted-use data from the National Center for Education Statistics High School Longitudinal Study of 2009 (HSLS). Results showed that 24% of the class of 2013 enrolled in at least one year of a course in band, choir, or orchestra at some point during high school. Music students were 60% female and 40% male, and the racial/ethnic composition of music ensemble students was 58% White, 13% Black or African American, 17% Hispanic or Latino, 4% Asian or Pacific Islander, 8% two or more races, and under 1% American Indian or Alaska Native. Students from the highest socioeconomic status quintiles were overrepresented among music students. Fully 61% of music ensemble students participated in some form of arts activity outside of school, and 71% of music students attended a play, concert, or live show with their parents as ninth graders. Complete results presented in the article include disaggregated profiles by type of ensemble and a multivariate logistic regression analysis.",Education,70.00%,Music,20.00%,Sociology and Political Science,10.00%
The challenge of realistic music generation: modelling raw audio at scale,"Realistic music generation is a challenging task. When building generative models of music that are learnt from data, typically high-level representations such as scores or MIDI are used that abstract away the idiosyncrasies of a particular performance. But these nuances are very important for our perception of musicality and realism, so in this work we embark on modelling music in the raw audio domain. It has been shown that autoregressive models excel at generating raw audio waveforms of speech, but when applied to music, we find them biased towards capturing local signal structure at the expense of modelling long-range correlations. This is problematic because music exhibits structure at many different timescales. In this work, we explore autoregressive discrete autoencoders (ADAs) as a means to enable autoregressive models to capture long-range correlations in waveforms. We find that they allow us to unconditionally generate piano music directly in the raw audio domain, which shows stylistic consistency across tens of seconds.",Computer Science,70.00%,Artificial Intelligence,20.00%,Software,10.00%
Music improves social communication and auditory–motor connectivity in children with autism,"Music has been identified as a strength in people with Autism Spectrum Disorder; however, there is currently no neuroscientific evidence supporting its benefits. Given its universal appeal, intrinsic reward value and ability to modify brain and behaviour, music may be a potential therapeutic aid in autism. Here we evaluated the neurobehavioural outcomes of a music intervention, compared to a non-music control intervention, on social communication and brain connectivity in school-age children (ISRCTN26821793). Fifty-one children aged 6–12 years with autism were randomized to receive 8–12 weeks of music (n = 26) or non-music intervention (n = 25). The music intervention involved use of improvisational approaches through song and rhythm to target social communication. The non-music control was a structurally matched behavioural intervention implemented in a non-musical context. Groups were assessed before and after intervention on social communication and resting-state functional connectivity of fronto-temporal brain networks. Communication scores were higher in the music group post-intervention (difference score = 4.84, P = .01). Associated post-intervention resting-state brain functional connectivity was greater in music vs. non-music groups between auditory and subcortical regions (z = 3.94, P < .0001) and auditory and fronto-motor regions (z = 3.16, P < .0001). Post-intervention brain connectivity was lower between auditory and visual regions in the music compared to the non-music groups, known to be over-connected in autism (z = 4.01, P < .00001). Post-intervention brain connectivity in the music group was related to communication improvement (z = 3.57, P < .0001). This study provides the first evidence that 8–12 weeks of individual music intervention can indeed improve social communication and functional brain connectivity, lending support to further investigations of neurobiologically motivated models of music interventions in autism.",Neurology (clinical),45.00%,Cognitive Neuroscience,35.00%,Psychiatry and Mental Health,20.00%
The psychological benefits of music-evoked nostalgia,"We provide a narrative review of the nascent literature on the psychological benefits of music-evoked nostalgia. Music is a prevalent and influential source of nostalgia. Music-evoked nostalgia confers approach-oriented psychological benefits in the social domain (by fostering social connectedness), self-oriented domain (by raising self-esteem, instilling a sense of youthfulness, elevating optimism, and enhancing inspiration), and existential domain (by strengthening meaning in life and augmenting self-continuity). Music-evoked nostalgia also confers psychological benefits indirectly. For example, it elevates optimisms by fostering sequentially social connectedness and self-esteem. Also, by fostering social connectedness, it enhances inspiration, strengthens meaning in life, and augments self-continuity. Furthermore, music-evoked nostalgia serves to buffer individuals against discomforting states, such as sadness. We conclude by discussing music-evoked nostalgia in people with dementia, contemplating the role of individual differences and context, considering the possibility that music-evoked nostalgia serves physiological functions, and asking whether familiarity with the music is necessary for the evocation of nostalgia and its ensuing benefits.",Psychology (miscellaneous),70.00%,Social Psychology,20.00%,Applied Psychology,10.00%
"Does Far Transfer Exist? Negative Evidence From Chess, Music, and Working Memory Training","Chess masters and expert musicians appear to be, on average, more intelligent than the general population. Some researchers have thus claimed that playing chess or learning music enhances children’s cognitive abilities and academic attainment. We here present two meta-analyses assessing the effect of chess and music instruction on children’s cognitive and academic skills. A third meta-analysis evaluated the effects of working memory training—a cognitive skill correlated with music and chess expertise—on the same variables. The results show small to moderate effects. However, the effect sizes are inversely related to the quality of the experimental design (e.g., presence of active control groups). This pattern of results casts serious doubts on the effectiveness of chess, music, and working memory training. We discuss the theoretical and practical implications of these findings; extend the debate to other types of training such as spatial training, brain training, and video games; and conclude that far transfer of learning rarely occurs.",Psychology (miscellaneous),70.00%,Experimental and Cognitive Psychology,20.00%,Developmental and Educational Psychology,10.00%
What works for wellbeing? A systematic review of wellbeing outcomes for music and singing in adults,"Aims: The role of arts and music in supporting subjective wellbeing (SWB) is increasingly recognised. Robust evidence is needed to support policy and practice. This article reports on the first of four reviews of Culture, Sport and Wellbeing (CSW) commissioned by the Economic and Social Research Council (ESRC)-funded What Works Centre for Wellbeing (https://whatworkswellbeing.org/). Objective: To identify SWB outcomes for music and singing in adults. Methods: Comprehensive literature searches were conducted in PsychInfo, Medline, ERIC, Arts and Humanities, Social Science and Science Citation Indexes, Scopus, PILOTS and CINAHL databases. From 5,397 records identified, 61 relevant records were assessed using GRADE and CERQual schema. Results: A wide range of wellbeing measures was used, with no consistency in how SWB was measured across the studies. A wide range of activities was reported, most commonly music listening and regular group singing. Music has been associated with reduced anxiety in young adults, enhanced mood and purpose in adults and mental wellbeing, quality of life, self-awareness and coping in people with diagnosed health conditions. Music and singing have been shown to be effective in enhancing morale and reducing risk of depression in older people. Few studies address SWB in people with dementia. While there are a few studies of music with marginalised communities, participants in community choirs tend to be female, white and relatively well educated. Research challenges include recruiting participants with baseline wellbeing scores that are low enough to record any significant or noteworthy change following a music or singing intervention. Conclusions: There is reliable evidence for positive effects of music and singing on wellbeing in adults. There remains a need for research with sub-groups who are at greater risk of lower levels of wellbeing, and on the processes by which wellbeing outcomes are, or are not, achieved.",Psychology (miscellaneous),60.00%,"Public Health, Environmental and Occupational Health",25.00%,Music,15.00%
Music May Reduce Loneliness and Act as Social Surrogate for a Friend: Evidence from an Experimental Listening Study,"After losing a close other, individuals usually confide in an empathic friend to receive comfort and they seem to have a heightened desire for mood-congruent, consoling music. Hence, it has been proposed that affect-congruent music acts as a social surrogate for an empathic friend. Thus, we hypothesized that listening to comforting music, as a response to a social loss experience, provides a sense of empathic company as indicated by reduced loneliness and heightened empathy. We further predicted that distracting music would have a stronger impact on the listeners’ mood in comparison to comforting pieces. To test these assumptions, an experiment with two factors was designed: (1) Sadness was induced by an approved guided imagery method where participants visualized either their father dying (social loss), losing their eyesight (non-social loss), or shopping for groceries (control condition). (2) After the mood induction, the listening task included either comforting or distracting music that participants selected themselves. Psychometric measures for mood and loneliness were collected before and after the mood induction and after the music listening. The data were analyzed with mixed model ANOVAs. The results showed a significant reduction of loneliness and a relevant rise in empathy and mood due to listening to self-selected music, irrespective of the listener’s mood or the applied listening strategy, which suggests that private musical engagement in general can provide mood-repair and a sense of connection. This beneficial effect of private musical engagement supports the notion that not only music production but also its perception engenders social cognition. Overall, the findings corroborate the idea of music as a social surrogate.",Psychology (miscellaneous),70.00%,Music,20.00%,Social Psychology,10.00%
"Coarrays, MUSIC, and the Cramér–Rao Bound","Sparse linear arrays, such as coprime arrays and nested arrays, have the attractive capability of providing enhanced degrees of freedom. By exploiting the coarray structure, an augmented sample covariance matrix can be constructed and MUtiple SIgnal Classification (MUSIC) can be applied to identify more sources than the number of sensors. While such a MUSIC algorithm works quite well, its performance has not been theoretically analyzed. In this paper, we derive a simplified asymptotic mean square error (MSE) expression for the MUSIC algorithm applied to the coarray model, which is applicable even if the source number exceeds the sensor number. We show that the directly augmented sample covariance matrix and the spatial smoothed sample covariance matrix yield the same asymptotic MSE for MUSIC. We also show that when there are more sources than the number of sensors, the MSE converges to a positive value instead of zero when the signal-to-noise ratio (SNR) goes to infinity. This finding explains the “saturation” behavior of the coarray-based MUSIC algorithms in the high-SNR region observed in previous studies. Finally, we derive the Cramér-Rao bound for sparse linear arrays, and conduct a numerical study of the statistical efficiency of the coarray-based estimator. Experimental results verify theoretical derivations and reveal the complex efficiency pattern of coarray-based MUSIC algorithms.",Electrical and Electronic Engineering,70.00%,Signal Processing,20.00%,Computer Science,10.00%
MIDI-VAE: Modeling Dynamics and Instrumentation of Music with Applications to Style Transfer,"We introduce MIDI-VAE, a neural network model based on Variational Autoencoders that is capable of handling polyphonic music with multiple instrument tracks, as well as modeling the dynamics of music by incorporating note durations and velocities. We show that MIDI-VAE can perform style transfer on symbolic music by automatically changing pitches, dynamics and instruments of a music piece from, e.g., a Classical to a Jazz style. We evaluate the efficacy of the style transfer by training separate style validation classifiers. Our model can also interpolate between short pieces of music, produce medleys and create mixtures of entire songs. The interpolations smoothly change pitches, dynamics and instrumentation to create a harmonic bridge between two music pieces. To the best of our knowledge, this work represents the first successful attempt at applying neural style transfer to complete musical compositions.",Computer Science,70.00%,Artificial Intelligence,20.00%,Music,10.00%
Building sustainable portfolio careers in music: insights and implications for higher education,"ABSTRACT This article discusses a range of significant issues for consideration by music higher education institutions when preparing their students for a portfolio career in music. Drawing on insights from a review of literature undertaken as part of an Australian Research Council Linkage Project, Making Music Work: Sustainable portfolio careers for Australian musicians, the article explores the dynamic structure of the music sector and the ways in which musicians are undertaking a portfolio of roles in order to ensure financial and creative sustainability. In particular, the article focuses on five career and educational issues of importance: enterprise and entrepreneurship, mobility, digitisation, gender parity, and health and wellbeing – when preparing graduates for a portfolio career reality.",Music,70.00%,Education,20.00%,"Business, Management and Accounting ",10.00%
Deep Music Analogy Via Latent Representation Disentanglement,"Analogy-making is a key method for computer algorithms to generate both natural and creative music pieces. In general, an analogy is made by partially transferring the music abstractions, i.e., high-level representations and their relationships, from one piece to another; however, this procedure requires disentangling music representations, which usually takes little effort for musicians but is non-trivial for computers. Three sub-problems arise: extracting latent representations from the observation, disentangling the representations so that each part has a unique semantic interpretation, and mapping the latent representations back to actual music. In this paper, we contribute an explicitly-constrained variational autoencoder (EC$^2$-VAE) as a unified solution to all three sub-problems. We focus on disentangling the pitch and rhythm representations of 8-beat music clips conditioned on chords. In producing music analogies, this model helps us to realize the imaginary situation of ""what if"" a piece is composed using a different pitch contour, rhythm pattern, or chord progression by borrowing the representations from other pieces. Finally, we validate the proposed disentanglement method using objective measurements and evaluate the analogy examples by a subjective study.",Computer Science,70.00%,Artificial Intelligence,20.00%,Music,10.00%
Self-efficacy of pre-school and primary school pre-service teachers in musical ability and music teaching,"Pre-service non-music major teachers deem music and music teaching essential, but they do not perceive themselves to be competent in this field due to various reasons. This research aims to reveal the effects of factors such as gender, age, the year of study they are currently in at university, and musical experience on their self-efficacy in music skills and music teaching. The research was conducted with the participation of 395 pre-service teachers studying pre-school education and classroom teaching in the department of basic education in the faculty of education. The data were collected by employing the self-efficacy scale developed for musical abilities and music teaching. The findings of the research indicate that while the self-efficacy of the participants in musical abilities and music teaching does not show meaningful difference by gender, it does show meaningful difference according to the year they are in at university. According to the regression analyses, the important variables predicting perceived musical ability are music teaching self-efficacy, having previously played an instrument, and currently playing an instrument. However, the variable of music teaching self-efficacy is predicted meaningfully only by musical ability self-efficacy.",Education,70.00%,Developmental and Educational Psychology,20.00%,Music,10.00%
"Emotions evoked by the sound of music: characterization, classification, and measurement.","One reason for the universal appeal of music lies in the emotional rewards that music offers to its listeners. But what makes these rewards so special? The authors addressed this question by progressively characterizing music-induced emotions in 4 interrelated studies. Studies 1 and 2 (n=354) were conducted to compile a list of music-relevant emotion terms and to study the frequency of both felt and perceived emotions across 5 groups of listeners with distinct music preferences. Emotional responses varied greatly according to musical genre and type of response (felt vs. perceived). Study 3 (n=801)--a field study carried out during a music festival--examined the structure of music-induced emotions via confirmatory factor analysis of emotion ratings, resulting in a 9-factorial model of music-induced emotions. Study 4 (n=238) replicated this model and found that it accounted for music-elicited emotions better than the basic emotion and dimensional emotion models. A domain-specific device to measure musically induced emotions is introduced--the Geneva Emotional Music Scale.",Psychology (miscellaneous),70.00%,Experimental and Cognitive Psychology,20.00%,Music,10.00%
Multimodal Music Information Processing and Retrieval: Survey and Future Challenges,"Towards improving the performance in various music information processing tasks, recent studies exploit different modalities able to capture diverse aspects of music. Such modalities include audio recordings, symbolic music scores, mid-level representations, motion and gestural data, video recordings, editorial or cultural tags, lyrics and album cover arts. This paper critically reviews the various approaches adopted in Music Information Processing and Retrieval, and highlights how multimodal algorithms can help Music Computing applications. First, we categorize the related literature based on the application they address. Subsequently, we analyze existing information fusion approaches, and we conclude with the set of challenges that Music Information Retrieval and Sound and Music Computing research communities should focus in the next years.",Computer Science,70.00%,Artificial Intelligence,20.00%,Software,10.00%
Learning Features of Music from Scratch,"This paper introduces a new large-scale music dataset, MusicNet, to serve as a source of supervision and evaluation of machine learning methods for music research. MusicNet consists of hundreds of freely-licensed classical music recordings by 10 composers, written for 11 instruments, together with instrument/note annotations resulting in over 1 million temporal labels on 34 hours of chamber music performances under various studio and microphone conditions. 
The paper defines a multi-label classification task to predict notes in musical recordings, along with an evaluation protocol, and benchmarks several machine learning architectures for this task: i) learning from spectrogram features; ii) end-to-end learning with a neural net; iii) end-to-end learning with a convolutional neural net. These experiments show that end-to-end models trained for note prediction learn frequency selective filters as a low-level representation of audio.",Computer Science,70.00%,Artificial Intelligence,20.00%,Signal Processing,10.00%
