Title,Abstract
The number of complete exceptional sequences for a Dynkin algebra,"We consider Dynkin algebras, these are the hereditary artin algebras of finite representation type. The indecomposable modules for a Dynkin algebra correspond bijectively to the positive roots of a Dynkin diagram. Given a Dynkin algebra with n simple modules, a complete exceptional sequence is a sequence M_1,..., M_n of indecomposable modules such that Hom(M_i,M_j) = 0 = Ext(M_i,M_j) for i > j. The aim of this paper is to determine the number of complete exceptional sequences for any Dynkin algebra. 
There are direct connections between the representation theory of a Dynkin algebra A and the lattice L of non-crossing partitions of the same Dynkin type: As Ingalls and Thomas have shown, the lattice of the thick subcategories of mod A can be identified with L. Hubery and Krause have pointed out that this identification provides a bijection between the complete exceptional sequences for A and the maximal chains in L. Thus, our calculations may also be considered as a categorification of results concerning non-crossing partitions."
Renormalization in Combinatorially Non-Local Field Theories: The Hopf Algebra of 2-Graphs,"Renormalization in perturbative quantum field theory is based on a Hopf algebra of Feynman diagrams. A precondition for this is locality. Therefore one might suspect that non-local field theories such as matrix or tensor field theories cannot benefit from a similar algebraic understanding. Here I show that, on the contrary, perturbative renormalization of a broad class of such field theories is based in the same way on a Hopf algebra. Their interaction vertices have the structure of graphs. This gives the necessary concept of locality and leads to Feynman diagrams defined as “2-graphs” which generate the Hopf algebra. These results set the stage for a systematic study of perturbative renormalization as well as non-perturbative aspects, e.g. Dyson-Schwinger equations, for a number of combinatorially non-local field theories with possible applications to random geometry and quantum gravity."
The quantum gravity disk: Discrete current algebra,"We study the quantization of the corner symmetry algebra of 3d gravity, that is the algebra of observables associated with 1d spatial boundaries. In the continuum field theory, at the classical level, this symmetry algebra is given by the central extension of the Poincar\'e loop algebra. At the quantum level, we construct a discrete current algebra based on a quantum symmetry group given by the Drinfeld double $\mathcal{D}\mathrm{SU}(2)$. Those discrete currents depend on an integer $N$, a discreteness parameter, understood as the number of quanta of geometry on the 1d boundary: low $N$ is the deep quantum regime, while large $N$ should lead back to a continuum picture. We show that this algebra satisfies two fundamental properties. First, it is compatible with the quantum space-time picture given by the Ponzano-Regge state-sum model, which provides discrete path integral amplitudes for 3d quantum gravity. The integer $N$ then counts the flux lines attached to the boundary. Second, we analyse the refinement, coarse-graining and fusion processes as $N$ changes, and we show that the $N\rightarrow\infty$ limit is a classical limit where we recover the Poincar\'e current algebra. Identifying such a discrete current algebra on quantum boundaries is an important step towards understanding how conformal field theories arise on spatial boundaries in quantized space-times such as in loop quantum gravity."
On the K-theory of the C*-algebra generated by the left regular representation of an Ore semigroup,We compute the K-theory of C*-algebras generated by the left regular representation of left Ore semigroups satisfying certain regularity conditions. Our result describes the K-theory of these semigroup C*-algebras in terms of the K-theory for the reduced group C*-algebras of certain groups which are typically easier to handle. Then we apply our result to specific semigroups from algebraic number theory.
Hamiltonian formulation of gravity as a spontaneously-broken gauge theory of the Lorentz group,"A number of approaches to gravitation have much in common with the gauge theories of the standard model of particle physics. In this paper, we develop the Hamiltonian formulation of a class of gravitational theories that may be regarded as spontaneously-broken gauge theories of the complexified Lorentz group SO(1,3)C with the gravitational field described entirely by a gauge field valued in the Lie algebra of SO(1,3)C and a ‘Higgs field’ valued in the group’s fundamental representation. The theories have one free parameter β which appears in a similar role to the inverse of the Barbero–Immirzi parameter of Einstein–Cartan theory. However, contrary to that parameter, it is shown that the number of degrees of freedom (DOFs) crucially depends on the value of β. For non-zero values of β, it is shown the theories possesses three complex DOFs, and for the specific values β=±i an extension to general relativity is recovered in a symmetry-broken regime. For the value β = 0, the theory possesses no local DOFs. A non-zero value of β corresponds to the self-dual and anti-self-dual gauge fields appearing asymmetrically in the action, therefore in these models, the existence of gravitational DOFs is tied to chiral asymmetry in the gravitational sector."
"Presentations of the Roger–Yang generalized
skein algebra","We describe presentations of the Roger-Yang generalized skein algebras for punctured spheres with an arbitrary number of punctures. This skein algebra is a quantization of the decorated Teichmuller space and generalizes the construction of the Kauffman bracket skein algebra. In this paper, we also obtain a new interpretation of the homogeneous coordinate ring of the Grassmannian of planes in terms of skein theory."
On multiplying curves in the Kauffman bracket skein algebra of the thickened four-holed sphere,"Based on the presentation of the Kauffman bracket skein algebra of the thickened torus given by the third author in previous work [4], Frohman and Gelca established a complete description of the multiplicative operation leading to a famous product-to-sum formula. In this paper, we study the multiplicative structure of the Kauffman bracket skein algebra of the thickened four-holed sphere. We present an algorithm to compute the product of any two elements of the algebra, and give an explicit formula for some families of curves. We surmise that the algorithm has quasi-polynomial growth with respect to the number of crossings of a pair of curves. Further, we conjecture the existence of a positive basis for the algebra."
The holographic Weyl anomaly,"We calculate the Weyl anomaly for conformal field theories that can be described via the adS/CFT correspondence. This entails regularizing the gravitational part of the corresponding supergravity action in a manner consistent with general covariance. Up to a constant, the anomaly only depends on the dimension d of the manifold on which the conformal field theory is defined. We present concrete expressions for the anomaly in the physically relevant cases d = 2,4 and 6. In d = 2 we find for the central charge c = 3l/2GN, in agreement with considerations based on the asymptotic symmetry algebra of adS3. In d = 4 the anomaly agrees precisely with that of the corresponding = 4 superconformal SU(N) gauge theory. The result in d = 6 provides new information for the (0, 2) theory, since its Weyl anomaly has not been computed previously. The anomaly in this case grows as N3, where N is the number of coincident M5 branes, and it vanishes for a Ricci-flat background."
Infinite Dimensional Free Algebra and the Forms of the Master Field,"We find an infinite-dimensional free algebra which lives at large N in any SU(N)-invariant action or Hamiltonian theory of bosonic matrices. The natural basis of this algebra is a free-algebraic generalization of Chebyshev polynomials and the dual basis is closely related to the planar connected parts. This leads to a number of free-algebraic forms of the master field including an algebraic derivation of the Gopakumar–Gross form. For action theories, these forms of the master field immediately give a number of new free-algebraic packagings of the planar Schwinger–Dyson equations."
COADJOINT ORBITS OF THE VIRASORO ALGEBRA AND THE GLOBAL LIOUVILLE EQUATION,"The classification of the coadjoint orbits of the Virasoro algebra is reviewed and then applied to analyze the so-called global Liouville equation. The review is self-contained, elementary and is tailor-made for the application. It is well known that the Liouville equation for a smooth, real field φ under periodic boundary condition is a reduction of the SL(2,R) WZNW model on the cylinder, where the WZNW field g∈SL(2,R) is restricted to be Gauss decomposable. If one drops this restriction, the Hamiltonian reduction yields, for the field Q=κg22 where κ≠0 is a constant, what we call the global Liouville equation. Corresponding to the winding number of the SL(2,R) WZNW model, there is a topological invariant in the reduced theory, given by the number of zeros of Q over a period. By the substitution Q=±exp(-φ/2), the Liouville theory for a smooth φ is recovered in the trivial topological sector. The nontrivial topological sectors can be viewed as singular sectors of the Liouville theory that contain blowingup solutions in terms of φ. Since the global Liouville equation is conformally invariant, its solutions can be described by explicitly listing those solutions for which the stress–energy tensor belongs to a set of representatives of the Virasoro coadjoint orbits chosen by convention. This direct method permits to study the ""coadjoint orbit content"" of the topological sectors as well as the behavior of the energy in the sectors. The analysis confirms that the trivial topological sector contains special orbits with hyperbolic monodromy and shows that the energy is bounded from below in this sector only."
Commutative Algebra: Constructive Methods: Finite Projective Modules,"Translated from the popular French edition, this book offers a detailed introduction to various basic concepts, methods, principles, and results of commutative algebra. It takes a constructive viewpoint in commutative algebra and studies algorithmic approaches alongside several abstract classical theories. Indeed, it revisits these traditional topics with a new and simplifying manner, making the subject both accessible and innovative. The algorithmic aspects of such naturally abstract topics as Galois theory, Dedekind rings, Prfer rings, finitely generated projective modules, dimension theory of commutative rings, and others in the current treatise, are all analysed in the spirit of the great developers of constructive algebra in the nineteenth century. This updated and revised edition contains over 350 well-arranged exercises, together with their helpful hints for solution. A basic knowledge of linear algebra, group theory, elementary number theory as well as the fundamentals of ring and module theory is required. Commutative Algebra: Constructive Methods will be useful for graduate students, and also researchers, instructors and theoretical computer scientists."
Temperley−Lieb algebra: From knot theory to logic and computation via quantum mechanics,"Our aim in this paper is to trace some of the surprising and beautiful connections which are beginning to emerge between a number of apparently disparate topics: Knot Theory, Categorical Quantum Mechanics, and Logic and Computation. 
We shall focus in particular on the following two topics: 
- The Temperley-Lieb algebra has always hitherto been presented as a quotient of some sort: either algebraically by generators and relations as in Jones' original presentation, or as a diagram algebra modulo planar isotopy as in Kauffman's presentation. We shall use tools from Geometry of Interaction, a dynamical interpretation of proofs under Cut Elimination developed as an off-shoot of Linear Logic, to give a direct description of the Temperley-Lieb category -- a ""fully abstract presentation"", in Computer Science terminology. This also brings something new to the Geometry of Interaction, since we are led to develop a planar version of it, and to verify that the interpretation of Cut-Elimination (the ""Execution Formula"", or ""composition by feedback"") preserves planarity. 
- We shall also show how the Temperley-Lieb algebra provides a natural setting in which computation can be performed diagrammatically as geometric simplification -- ""yanking lines straight"". We shall introduce a ""planar lambda-calculus"" for this purpose, and show how it can be interpreted in the Temperley-Lieb category."
Winding number in string field theory,"A bstractMotivated by the similarity between cubic string field theory (CSFT) and the Chern-Simons theory in three dimensions, we study the possibility of interpreting $ \mathcal{N} = \left( {{\pi^2}/3} \right)\int {{{\left( {U{\mathcal{Q}_B}{U^{{ - 1}}}} \right)}^3}} $ as a kind of winding number in CSFT taking quantized values. In particular, we focus on the expression of $ \mathcal{N} $ as the integration of a BRST-exact quantity, $ \mathcal{N} = \int {{\mathcal{Q}_B}\mathcal{A}} $ which vanishes identically in naive treatments. For realizing non-trivial $ \mathcal{N} $, we need a regularization for divergences from the zero eigenvalue of the operator K in the KB c algebra. This regularization must at the same time violate the BRST-exactness of the integrand of $ \mathcal{N} $. By adopting the regularization of shifting K by a positive infinitesimal, we obtain the desired value $ \mathcal{N}[{({{\text{U}}_{\text{tv}}})^{{\pm {1}}}}] = \mp {1} $ for Utv corresponding to the tachyon vacuum. However, we find that $ \mathcal{N}[{({{\text{U}}_{\text{tv}}})^{{\pm {2}}}}] $ differs from ∓2, the value expected from the additive law of $ \mathcal{N} $. This result may be understood from the fact that $ \Psi = U{\mathcal{Q}_B}{U^{{ - 1}}} $ with U = (Utv)±2 does not satisfy the CSFT EOM in the strong sense and hence is not truly a pure-gauge in our regularization."
The Reflectiveness of Covering Morphisms in Algebra and Geometry,"Each full reflective subcategory X of a finitely-complete category C gives rise to a factorization system (E; M) on C, where E consists of the morphisms of C inverted by the reflexion I : C → X. Under a simplifying assumption which is satisfied in many practical examples, a morphism f : A → B lies in M precisely when it is the pullback along the unit B : B → IB of its reflexion If : IA → IB; whereupon f is said to be a trivial covering of B. Finally, the morphism f : A → B is said to be a covering of B if, for some effective descent morphism p : E → B, the pullback p f of f along p is a trivial covering of E. This is the absolute notion of covering; there is also a more general relative one, where some class Θ of morphisms of C is given, and the class Cov(B) of coverings of B is a subclass - or rather a subcategory - of the category C ↓B ⊂ C=B whose objects are those f : A → B with f ∈ Θ. Many questions in mathematics can be reduced to asking whether Cov(B) is reflective in C ↓B; and we give a number of disparate conditions, each sufficient for this to be so. In this way we recapture old results and establish new ones on the reflexion of local homeomorphisms into coverings, on the Galois theory of commutative rings, and on generalized central extensions of universal algebras."
The Euler–Poincaré Equations and Semidirect Products with Applications to Continuum Theories,"We study Euler–Poincare systems (i.e., the Lagrangian analogue of Lie–Poisson Hamiltonian systems) defined on semidirect product Lie algebras. We first give a derivation of the Euler–Poincare equations for a parameter dependent Lagrangian by using a variational principle of Lagrange d'Alembert type. Then we derive an abstract Kelvin–Noether theorem for these equations. We also explore their relation with the theory of Lie–Poisson Hamiltonian systems defined on the dual of a semidirect product Lie algebra. The Legendre transformation in such cases is often not invertible; thus, it does not produce a corresponding Euler–Poincare system on that Lie algebra. We avoid this potential difficulty by developing the theory of Euler–Poincare systems entirely within the Lagrangian framework. We apply the general theory to a number of known examples, including the heavy top, ideal compressible fluids and MHD. We also use this framework to derive higher dimensional Camassa–Holm equations, which have many potentially interesting analytical properties. These equations are Euler–Poincare equations for geodesics on diffeomorphism groups (in the sense of the Arnold program) but where the metric is H^1 rather thanL^2."
Quantum advantage with shallow circuits,"Quantum outperforms classical Quantum computers are expected to be better at solving certain computational problems than classical computers. This expectation is based on (well-founded) conjectures in computational complexity theory, but rigorous comparisons between the capabilities of quantum and classical algorithms are difficult to perform. Bravyi et al. proved theoretically that whereas the number of “steps” needed by parallel quantum circuits to solve certain linear algebra problems was independent of the problem size, this number grew logarithmically with size for analogous classical circuits (see the Perspective by Montanaro). This so-called quantum advantage stems from the quantum correlations present in quantum circuits that cannot be reproduced in analogous classical circuits. Science, this issue p. 308; see also p. 289 Parallel quantum circuits outperform classical counterparts at solving certain linear algebra problems. Quantum effects can enhance information-processing capabilities and speed up the solution of certain computational problems. Whether a quantum advantage can be rigorously proven in some setting or demonstrated experimentally using near-term devices is the subject of active debate. We show that parallel quantum algorithms running in a constant time period are strictly more powerful than their classical counterparts; they are provably better at solving certain linear algebra problems associated with binary quadratic forms. Our work gives an unconditional proof of a computational quantum advantage and simultaneously pinpoints its origin: It is a consequence of quantum nonlocality. The proposed quantum algorithm is a suitable candidate for near-future experimental realizations, as it requires only constant-depth quantum circuits with nearest-neighbor gates on a two-dimensional grid of qubits (quantum bits)."
On the multihomogeneous Bézout bound on the number of embeddings of minimally rigid graphs,"Rigid graph theory is an active area with many open problems, especially regarding embeddings in Rd\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathbb R}^d$$\end{document} or other manifolds, and tight upper bounds on their number for a given number of vertices. Our premise is to relate the number of embeddings to that of solutions of a well-constrained algebraic system and exploit progress in the latter domain. In particular, the system’s complex solutions naturally extend the notion of real embeddings, thus allowing us to employ bounds on complex roots. We focus on multihomogeneous Bézout (m-Bézout) bounds of algebraic systems since they are fast to compute and rather tight for systems exhibiting structure as in our case. We introduce two methods to relate such bounds to combinatorial properties of minimally rigid graphs in Cd\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\mathbb {C}^d$$\end{document} and Sd\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$S^d$$\end{document}. The first relates the number of graph orientations to the m-Bézout bound, while the second leverages a matrix permanent formulation. Using these approaches we improve the best known asymptotic upper bounds for planar graphs in dimension 3, and all minimally rigid graphs in dimension d≥5\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$d\ge 5$$\end{document}, both in the Euclidean and spherical case. Our computations indicate that m-Bézout bounds are tight for embeddings of planar graphs in S2\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$S^2$$\end{document} and C3\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\mathbb {C}^3$$\end{document}. We exploit Bernstein’s second theorem on the exactness of mixed volume, and relate it to the m-Bézout bound by analyzing the associated Newton polytopes. We reduce the number of checks required to verify exactness by an exponential factor, and conjecture further that it suffices to check a linear instead of an exponential number of cases overall."
An Investigation into Neural Net Optimization via Hessian Eigenvalue Density,"To understand the dynamics of optimization in deep neural networks, we develop a tool to study the evolution of the entire Hessian spectrum throughout the optimization process. Using this, we study a number of hypotheses concerning smoothness, curvature, and sharpness in the deep learning literature. We then thoroughly analyze a crucial structural feature of the spectra: in non-batch normalized networks, we observe the rapid appearance of large isolated eigenvalues in the spectrum, along with a surprising concentration of the gradient in the corresponding eigenspaces. In batch normalized networks, these two effects are almost absent. We characterize these effects, and explain how they affect optimization speed through both theory and experiments. As part of this work, we adapt advanced tools from numerical linear algebra that allow scalable and accurate estimation of the entire Hessian spectrum of ImageNet-scale neural networks; this technique may be of independent interest in other applications."
Asymptotic symmetries of three-dimensional gravity coupled to higher-spin fields,"We discuss the emergence of $ \mathcal{W} \mbox{-algebras}$ as asymptotic symmetries of higher-spin gauge theories coupled to three-dimensional Einstein gravity with a negative cosmological constant. We focus on models involving a finite number of bosonic higher-spin fields, and especially on the example provided by the coupling of a spin-3 field to gravity. It is described by a SL(3) × SL(3) Chern-Simons theory and its asymptotic symmetry algebra is given by two copies of the classical $ {\mathcal{W}_3}\mbox{-algebra} $ with central charge the one computed by Brown and Henneaux in pure gravity with negative cosmological constant."
Hopf algebra techniques to handle dynamical systems and numerical integrators,"In a series of papers the present authors and their coworkers have developed a family of algebraic techniques to solve a number of problems in the theory of discrete or continuous dynamical systems and to analyze numerical integrators. Given a specific problem, those techniques construct an abstract, {\em universal} version of it which is solved algebraically; then, the results are tranferred to the original problem with the help of a suitable morphism. In earlier contributions, the abstract problem is formulated either in the dual of the shuffle Hopf algebra or in the dual of the Connes-Kreimer Hopf algebra. In the present contribution we extend these techniques to more general Hopf algebras, which in some cases lead to more efficient computations."
A Lower Bound of the Number of Rewrite Rules Obtained by Homological Methods,"It is well-known that some equational theories such as groups or boolean
algebras can be defined by fewer equational axioms than the original axioms.
However, it is not easy to determine if a given set of axioms is the smallest
or not. Malbos and Mimram investigated a general method to find a lower bound
of the cardinality of the set of equational axioms (or rewrite rules) that is
equivalent to a given equational theory (or term rewriting systems), using
homological algebra. Their method is an analog of Squier's homology theory on
string rewriting systems. In this paper, we develop the homology theory for
term rewriting systems more and provide a better lower bound under a stronger
notion of equivalence than their equivalence. The author also implemented a
program to compute the lower bounds, and experimented with 64 complete TRSs."
A note on the Drinfeld associator for genus-zero superstring amplitudes in twisted de Rham theory,"The string corrections of tree-level open-string amplitudes can be described by Selberg integrals satisfying a Knizhnik–Zamolodchikov (KZ) equation. This allows for a recursion of the α′-expansion of tree-level string corrections in the number of external states using the Drinfeld associator. While the feasibility of this recursion is well-known, we provide a mathematical description in terms of twisted de Rham theory and intersection numbers of twisted forms. In particular, this leads to purely combinatorial expressions for the matrix representation of the Lie algebra generators appearing in the KZ equation in terms of directed graphs. This, in turn, admits efficient algorithms for symbolic and numerical computations using adjacency matrices of directed graphs and is a crucial step towards analogous recursions and algorithms at higher genera."
Multi-experiment parameter identifiability of ODEs and model theory,"Structural identifiability is a property of an ODE model with parameters that allows for the parameters to be determined from continuous noise-free data. This is natural prerequisite for practical identifiability. Conducting multiple independent experiments could make more parameters or functions of parameters identifiable, which is a desirable property to have. How many experiments are sufficient? In the present paper, we provide an algorithm to determine the exact number of experiments for multi-experiment local identifiability and obtain an upper bound that is off at most by one for the number of experiments for multi-experiment global identifiability. Interestingly, the main theoretical ingredient of the algorithm has been discovered and proved using model theory (in the sense of mathematical logic). We hope that this unexpected connection will stimulate interactions between applied algebra and model theory, and we provide a short introduction to model theory in the context of parameter identifiability. As another related application of model theory in this area, we construct a nonlinear ODE system with one output such that single-experiment and mutiple-experiment identifiability are different for the system. This contrasts with recent results about single-output linear systems. We also present a Monte Carlo randomized version of the algorithm with a polynomial arithmetic complexity. Implementation of the algorithm is provided and its performance is demonstrated on several examples. The source code is available at https://github.com/pogudingleb/ExperimentsBound."
A brief review of e theory,"I begin with some memories of Abdus Salam who was my PhD supervisor. After reviewing the theory of nonlinear realisations and Kac–Moody algebras, I explain how to construct the nonlinear realisation based on the Kac–Moody algebra E11 and its vector representation. I explain how this field theory leads to dynamical equations which contain an infinite number of fields defined on a space–time with an infinite number of coordinates. I then show that these unique dynamical equations, when truncated to low level fields and the usual coordinates of space–time, lead to precisely the equations of motion of 11-dimensional supergravity theory. By taking different group decompositions of E11 we find all the maximal supergravity theories, including the gauged maximal supergravities, and as a result the nonlinear realisation should be thought of as a unified theory that is the low energy effective action for type II strings and branes. These results essentially confirm the E11 conjecture given many years ago."
Recoverability in quantum information theory,"The fact that the quantum relative entropy is non-increasing with respect to quantum physical evolutions lies at the core of many optimality theorems in quantum information theory and has applications in other areas of physics. In this work, we establish improvements of this entropy inequality in the form of physically meaningful remainder terms. One of the main results can be summarized informally as follows: if the decrease in quantum relative entropy between two quantum states after a quantum physical evolution is relatively small, then it is possible to perform a recovery operation, such that one can perfectly recover one state while approximately recovering the other. This can be interpreted as quantifying how well one can reverse a quantum physical evolution. Our proof method is elementary, relying on the method of complex interpolation, basic linear algebra and the recently introduced Rényi generalization of a relative entropy difference. The theorem has a number of applications in quantum information theory, which have to do with providing physically meaningful improvements to many known entropy inequalities."
